Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,CranialCapacity,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; carcasses,TrophicLevel,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Afrosoricida,Tenrecidae,Microgale,Microgale dryas,Jenkins; 1992,Dryad Shrew Tenrec; Tree Shrew Tenrec,40,-999,1,yes,no,no,no,no,no,no,3,1,1,1,91.25,6,243.33,-999,-999,1,-999,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,332; 376; 207; 135; 149
Afrosoricida,Tenrecidae,Microgale,Microgale fotsifotsy,Jenkins; Raxworthy & Nussbaum; 1997,Pale Shrew Tenrec; Pale-footed Shrew Tenrec,9.4,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,163; 376; 207; 116; 149
Afrosoricida,Tenrecidae,Microgale,Microgale gracilis,(Major; 1896),Gracile Shrew Tenrec,23.3,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,56,-999,1,-999,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 191; 149; 278
Afrosoricida,Tenrecidae,Microgale,Microgale grandidieri,Olson; Rakotomalala; Hildebrandt; Lanier; Raxworthy & Goodman; 2009,Grandidier's shrew tenrec,8.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,-999,-999,-999,-999,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,264; 116; 149; 133
Afrosoricida,Tenrecidae,Microgale,Microgale gymnorhyncha,Jenkins; Goodman & Raxworthy; 1996,Naked-nosed Shrew Tenrec,18.2,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,-999,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 133; 149
Afrosoricida,Tenrecidae,Microgale,Microgale jenkinsae,Goodman & Soarimalala; 2004,Jenkins' Shrew Tenrec,5.1,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,-999,-999,-999,-999,-999,-999,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151; 207; 133; 149
Afrosoricida,Tenrecidae,Microgale,Microgale jobihely,Goodman; Raxworthy; Maminirina & Olson; 2006,Northern Shrew Tenrec,9,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,163; 207; 116; 149; 133
Afrosoricida,Tenrecidae,Microgale,Microgale longicaudata,Thomas; 1882,Lesser Long-tailed Shrew Tenrec,5.65,-999,1,yes,no,no,no,no,no,no,3,2,2,1,-999,6,-999,-999,-999,-999,-999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,210; 376; 207; 191; 149
Afrosoricida,Tenrecidae,Microgale,Microgale majori,Thomas; 1918,Major's Long-tailed Tenrec,-999,-999,1,yes,no,no,no,no,no,no,3,2,1,1,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,207; 133; 149
Afrosoricida,Tenrecidae,Microgale,Microgale monticola,Goodman & Jenkins; 1998,Montane Shrew Tenrec; Mountain Shrew Tenrec,13.9,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,-999,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,332; 376; 207; 116; 149
Afrosoricida,Tenrecidae,Microgale,Microgale nasoloi,Jenkins & Goodman; 1999,Nasolo's Shrew Tenrec,14,-999,1,yes,no,no,no,no,no,no,3,2,1,1,-999,2.5,-999,-999,-999,-999,-999,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,149; 376; 207; 116; 149; 252
Afrosoricida,Tenrecidae,Microgale,Microgale parvula,G. Grandidier; 1934,Pygmy Shrew Tenrec,3.2,-999,1,yes,no,no,no,no,no,no,3,2,1,1,-999,6,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,151; 376; 207; 191; 149
Afrosoricida,Tenrecidae,Microgale,Microgale principula,Thomas; 1926,Greater Long-tailed Shrew Tenrec,10.2,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,-999,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 116; 149
Afrosoricida,Tenrecidae,Microgale,Microgale pusilla,Major; 1896,Least Shrew Tenrec; Lesser Shrew Tenrec,3.5,-999,1,yes,no,no,no,no,no,no,3,2,1,1,-999,6,-999,-999,-999,-999,-999,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,163; 376; 207; 191; 149
Afrosoricida,Tenrecidae,Microgale,Microgale soricoides,Jenkins; 1993,Shrew-toothed Shrew Tenrec; Shrew Tenrec,18,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,210; 376; 207; 116; 149
Afrosoricida,Tenrecidae,Microgale,Microgale taiva,Major; 1896,Taiva Shrew Tenrec,11.8,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,6,-999,-999,-999,-999,13,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,163; 376; 207; 116; 149; 255
Afrosoricida,Tenrecidae,Microgale,Nesogale talazaci,Major; 1896,Talzac's Shrew Tenrec,52.5,-999,1,yes,no,no,no,no,no,no,3,2,1,1,60.62,2.12,-999,-999,-999,-999,69.8,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,332; 376; 207; 191; 149; 19; 4
Afrosoricida,Tenrecidae,Microgale,Microgale thomasi,Major; 1896,Thomas' Shrew Tenrec; Thomas's Shrew Tenrec,22.9,-999,1,yes,no,no,no,no,no,no,3,1,1,1,-999,2,-999,-999,-999,-999,34.9,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,332; 376; 207; 191; 149; 252; 255
Chiroptera,Vespertilionidae,Hypsugo,Hypsugo bemainty,Goodman; Rakotondramanana; Ramasindrazana; Kearney; Maonadjem; Schoeman; Taylor; Naughton & Appleton; 2015,Dark Madagascar pipistrelle,3.6,-999,1,yes,no,no,no,no,no,no,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,158; 304
